name,address,cross_street_reference,ward,contact_name,phone,phone_extension,email,website
Macaulay - Jane Street Child Care Centre,610 Jane St,St. Clair W./Jane,Parkdale-High Park,Christine Ramondino,416-769-8021,621,,macaulaycentre.org
Macaulay - Keelesdale Child Care Centre,"200 Bicknell Ave, Lower Level",Eglinton W./Keele,York South-Weston,Dagmar Grasser,416-394-4222,550,,macaulaycentre.org
Macaulay - Marlee Child Care Centre,145 Marlee Ave,Lawrence Ave W/Marlee Ave,Eglinton-Lawrence,Andrea Barrios,416-546-8931,583,,macaulaycentre.org
Macaulay - Mountview Child Care Centre,569 Jane St,Jane/Dundas,Parkdale-High Park,Katherine Malana,416-780-2720,,,macaulaycentre.org
Macaulay - Pelmo Park Child Care Centre,180 Gary Dr,,York South-Weston,Mia Markotic,647-284-3721,,,macaulaycentre.org
Macaulay - St. Andre Child Care Centre,36 Yvonne Ave,Jane St/Wilson Ave,Humber River-Black Creek,Aanuoluwapo Adeduji,416-312-5044,502,,macaulaycentre.org
Macaulay - St. John The Evangelist Child Care Centre,23 George St,Lawrence Ave And Weston Rd,York South-Weston,Nozomi Kuribayashi,416-953-0133,,,macaulaycentre.org
Macaulay - St. Jude Child Care Centre,3251 Weston Rd,,Humber River-Black Creek,Tianna Robinson,416-789-7441,690,,macaulaycentre.org
Macaulay - St.Nicholas Of Bari Child Care Centre,363 Rogers Rd,,Davenport,Leah Liang,416-546-1090,470,,macaulaycentre.org
Macaulay - St. Paul VI,270 Laughton Ave,St Clair Ave W/Weston Rd,Davenport,Elise Sullivan,416-303-9602,,,macaulaycentre.org
Macaulay - St. Thomas Aquinas Child Care Centre,636 Glenholme Ave,,Toronto-St. Paul's,Sherifa Douglas,437-870-7302,,,
Macaulay - Stanley Child Care Centre,75 Stanley Rd,,Humber River-Black Creek,Esther Kwapong,416-780-2726,391,,macaulaycentre.org
Macaulay - The Well,440 Front St W,Front St W/Spadina,Spadina-Fort York,Maya Milinkovic,416-464-6994,,,macaulaycentre.org
Macaulay - Tippett Child Care Centre,38 Monte Kwinter Crt,,York Centre,Kelly Ton,416-789-7441,381,,macaulaycentre.org
Macaulay - Valleyfield Child Care Centre,35 Saskatoon Dr,,Etobicoke Centre,Evelyn Viriato,416-655-7552,,,macaulaycentre.org
Macaulay - Warren Park Child Care Centre,135 Varsity Rd,Varsity/Dundas W.,Parkdale-High Park,Taylor Peart,647-302-7134,,,macaulaycentre.org
Mackie Sunshine Childcare Inc. - St. Denis Sunshine,67 Balsam Ave,Victoria Park/Queen St. E.,Beaches-East York,Ciera Deneault,416-434-9146,,,
Mackie Sunshine Child Care Inc.St. Joseph's Sunshine,176 Leslie St,Dundas/Leslie,Toronto-Danforth,Laurel Costa,416-469-2866,,,
Main Square Day Care Centre,"265 Main St, Bldg C",Main/Danforth,Beaches-East York,June Hall,416-691-3909,,,mainsquaredaycare.com
Malvern Early Learning & Child Care Centre,1321 Neilson Rd,Sewells/Neilson,Scarborough-Rouge Park,Theresa Persaud,416-392-3766,,,toronto.ca/children/telccs
Mandi Day Care,30 Barrhead Cres,Kipling/Rexdale Blvd.,Etobicoke North,Romona Singh,416-749-8110,,,
Manor Montessori School,9 Elvina Gdns,,Don Valley West,Dana Stewart,416-488-4218,,,manormontessorischool.com
Manor Montessori School 3,909 Mount Pleasant Rd,Mount Pleasant Road/Broadway,Don Valley West,Dana Stewart,416-488-4218,,,manormontessorischool.com
Manor Montessori School Inc - 14 De Savery Crescent,14 De Savery Cres,Davisville/Mt. Pleasant,Toronto-St. Paul's,Dana Stewart,416-488-4218,,,manormontessorischool.com
Maplewood Before And After School Care,15 Cherrywood Ave,Vaughan/St. Clair,Toronto-St. Paul's,Amrit Garcha,416-654-2498,,,
Ma Premiere Ecole,2383 Queen St E,,Beaches-East York,Carole Mindjimba,416-671-4367,,,ma-premiere-ecole.ca
Marguerite Butt Early Learning & Child Care Centre,3197 Lake Shore Blvd W,Lake Shore Blvd W/Kipling,Etobicoke-Lakeshore,Rosemary Mangiardi,416-392-4652,,,toronto.ca/children/telccs
Maria Montessori School Young Children's Community,125 Brentcliffe Rd,,Don Valley West,Alanah Dickson,416-423-9123,,,mariamontessori.ca
"Market Lane Junior And Senior Public School, Extended Day Program",246 The Esplanade,Front St E/Parliament,Toronto Centre,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Martingrove Child Care Centre,"256 John Garland Blvd, 131 & 132",Martingrove/John Garland,Etobicoke North,Diane Bisnauth,416-742-1812,,,
Martin Luther Child Care - Lakeshore,2379 Lake Shore Blvd W,Lake Shore Blvd W/Superior Ave,Etobicoke-Lakeshore,Cindy Crain,416-259-2861,,,
Martin Luther Child Care - Superior,5 Superior Ave,Lake Shore Blvd W/Royal York,Etobicoke-Lakeshore,Cindy Crain,416-259-2861,,,
Maryvale Jr YMCA,1325 Pharmacy Ave,Pharmacy/Ellesmere,Scarborough Centre,Sol Shenian,416-447-8115,,,
Mary Ward Child Care Centre,3200 Kennedy Rd,Kennedy/Steeles,Scarborough-Agincourt,Shanthinie Edwards,416-297-9660,,,familydaycare.com
Matthew-John Early Learning Centre,135 First Ave,Gerrard/Broadview,Toronto-Danforth,Jolanta Sadocha,416-466-8001,,,
Maurice Cody Child Care,364 Belsize Dr,Bayview/Millwood,Don Valley West,Kimberly Stevenson,416-484-4881,,,
McGregor Jr YMCA,555 Mortimer Ave,Coxwell/Mortimer,Toronto-Danforth,Stephanie Fraggoulis,416-463-2976,,,ymcatoronto.org
McKee McKids Enrichment Centre,35 Church Ave,Yonge/Finch,Willowdale,Heather Yeo,416-222-1414,,,
McMurrich Co-Operative Playschool,115 Winona Dr,Winona/St. Clair W.,Toronto-St. Paul's,Sona Mirzoyan,416-738-9456,,,
McMurrich Sprouts,115 Winona Dr,St. Clair/Oakwood,Toronto-St. Paul's,Brenda Evans,416-656-7957,,,
McNicoll Avenue Child Care Program,155 McNicoll Ave,Don Mills/Finch,Don Valley North,Lynn Lewis,416-499-9743,,,mcnicollchildcare.com
Meadowvale Daycare Centre,761 Meadowvale Rd,Meadowvale/Ellesmere,Scarborough-Rouge Park,Gloria Kanhai,416-281-4171,,,meadowvaledaycare.com
Metro Hall Early Learning & Child Care Centre,"55 John St, Station 1014",John/King,Spadina-Fort York,Rommy Pizarro,416-397-5171,,,toronto.ca/children/telccs
Midland Child Care Centre,4220 Midland Ave,Midland/Steeles,Scarborough-Agincourt,Beth Ho,416-291-4886,,,
Mighty Kids,14 Verral Ave,,Toronto-Danforth,Francine Brown,416-778-7575,,,
Miles Nadal Community Centre Nursery School,750 Spadina Ave,Bloor/Spadina,University-Rosedale,Cheri Szereszewski,416-924-6211,6119,,mnjcc.org
Millvalley Child Care Centre,411 Mill Rd,Burnamthorpe/Mill Rd.,Etobicoke Centre,Marlene Bali,416-621-7553,10,,
Millwood Jr YMCA,222 Mill Rd,Mill Rd./Bloor,Etobicoke Centre,Aresema Belachew,416-622-6331,,,
Miracle Montessori School Inc,"20 Upjohn Rd, 105",York Mills Rd/Don Mills Rd,Don Valley East,Haini Na,647-219-2609,,miraclemontessori618@gmail.com,
Momentum Montessori Regent Park Inc,237 Sackville St,,Toronto Centre,Taylor Aiyadurai,437-445-9220,,,momentummontessori.ca
Monarch Manor,240 Manor Rd E,,Don Valley West,Rose An,416-544-8686,,,monarchmanor.ca
Monarch Park Montessori Inc.,201 Monarch Park Ave,Danforth Ave./Greenwood,Toronto-Danforth,Huma Esmail,647-748-8822,,,monarchparkmontessori.com
Mon Petit Univers,1578 Kingston Rd,Kingston/Warden,Scarborough Southwest,Dafenid Frederic,647-403-2327,,,monpetitunivers.ca
Montessori Education Centre,16 Thorncliffe Park Dr,Thorncliffe Park Dr/Overlea Bl,Don Valley West,Imanti De Bellefeuille,416-421-0007,,,montessoried.ca
Montessori For Children (St. Clair)Inc,25 Alvin Ave,Yonge/St. Clair,Toronto-St. Paul's,Tracey Fenster,416-927-1958,,,montessoriforchildren.com
Montessori Jewish Day School Of Toronto,55 Yeomans Rd,Sheppard Ave. W./Bathurst,York Centre,Mitchel Small,416-784-5071,,,mjds.ca
Montessori Start Inc,1195 Lawrence Ave W,Lawrence/Caledonia,Eglinton-Lawrence,Rosa Marcellino,416-901-9363,,,montessoristart.com
Montessori Villa Wisdom Inc.,231 Milner Ave,,Scarborough North,Ranjana Bedi-Deonarain,647-876-5414,,,montessorivillawisdom.ca
Montrose Child Care Centre Inc.,301 Montrose Ave,Bloor W./Christie,University-Rosedale,Patricia Yan-Badilla,416-532-6675,,,
Morningside Children's Centre,292 Morningside Ave,Morningside/Kingston Rd.,Scarborough-Guildwood,Sobana Perapagaran,416-282-9956,,,
Morrish Jr YMCA,61 Canmore Blvd,Ellesmere/Morrish Rd.,Scarborough-Rouge Park,Marjorie Umali,416-724-1925,,,
Moshava Ba'Ir Day Camp Of Toronto - Preschool,819 Sheppard Ave W,Wilmington Ave/Sheppard Ave W,York Centre,Ariella Goldstein,905-370-0448,,,mbt.moshavabair.org
MothercraftBrookfield Place - 161 Bay Street,161 Bay St,,Toronto Centre,Kimberly Wint,416-367-1758,,,mothercraft.ca
Mothercraft Midtown Ced,"44 Lillian St, Unit 101",,Toronto-St. Paul's,Anita Chang,416-362-0333,,,
MothercraftRobertson House (32 Heath Street West),32 Heath St W,Yonge/St. Clair,Toronto-St. Paul's,Sonia Ferreira,416-920-3515,5115,,
MothercraftToronto Eaton Centre,14 Trinity Sq,Dundas/Bay,Toronto Centre,Lalaine Tan,416-340-9651,,,mothercraft.ca
Mother Of Compassion Child Care,40 Sewells Rd,Neilson/Sheppard,Scarborough-Rouge Park,Kristen Laaniste,416-724-1462,,,
Mount Carmel Day Care,2700 Jane St,Jane/Sheppard,Humber River-Black Creek,Mary Daisy Kalarakil,416-749-5545,,,mountcarmelsisters.com/daycare.html
Mount Dennis Early Learning & Child Care Centre,1234 Weston Rd,Jane St./Eglinton Ave W,York South-Weston,Laura Henriques,416-392-5686,,,toronto.ca/children/telccs
Mtt Davisville (10730041 Canada Inc),588 Mount Pleasant Rd,,Toronto-St. Paul's,Monice Morenzie,416-722-8311,,,mttdavisville.com
Munchkinz Preschool Inc. (2193117 Ontario Inc.),260 The Queensway,The Queensway/Park Lawn Road,Etobicoke-Lakeshore,Allison Gowing,416-252-0600,,,munchkinzpreschool.com
Muppets Children's Centre 314,314 Main St,Main/Danforth,Beaches-East York,Lama Abou-Merhi,416-690-8668,,,
Muppets Children's Centre 316,316 Main St,Main/Danforth,Beaches-East York,Abou-Merhi Lama,416-694-7888,,,
Muppets Infant & Toddler Centre 312,312 Main St,Main/Danforth,Beaches-East York,Sumaira Mala,416-693-9879,,,
Muppets Preschool Centre (Victoria Village),88 Sweeney Dr,Victoria Pk./Lawrence,Don Valley East,Christa Deneault,416-759-5159,,,victoriavillage.com/index.php
Muppets Too Preschool Centre,45 Cassandra Blvd,Lawrence/Underhill,Don Valley East,Angela Blake,416-449-3010,,,victoriavillage.com/index.php
My Little School,1492 Victoria Park Ave,Victoria Park/O'Connor,Don Valley East,Vivian Aravantinos,416-755-0305,,,victoriavillage.com/index.php
My School Co-Op Nursery School,116 Fermanagh Ave,Queen/Roncesvalles,Parkdale-High Park,A.K. Bito,416-516-2397,,,myschoolcooperative.org
N.Y.A.D. Cedar Drive,21 Gatesview Ave,Eglinton Ave. E/Markham Rd.,Scarborough-Guildwood,Derek Yiu,416-396-6123,,,
N.Y.A.D. Corvette,30 Corvette Ave,Kennedy/Eglinton,Scarborough Southwest,Sandra Holvor-Calhoun,416-266-4990,,,
N.Y.A.D. Donwood Inc,61 Dorcot Ave,Midland/Lawrence,Scarborough Centre,Lorrie Weddell,416-759-7648,,,
N.Y.A.D. Guildwood,225 Livingston Rd,Guildwood Pkwy/Livingston Rd.,Scarborough-Guildwood,Laila Baksh,416-261-6540,,,
N.Y.A.D. Mason Road,78 Mason Rd,Eglinton Ave. E./Markham Rd.,Scarborough Southwest,Shasta Roche,416-881-7397,,,
N.Y.A.D. Midland,720 Midland Ave,Midland/Eglinton,Scarborough Southwest,Lisa D'Andrade,416-264-8050,,,nyad.org
N.Y.A.D Scarborough Village,15 Luella St,Markham/Eglinton,Scarborough-Guildwood,Colleen Elmhirst,416-261-4815,,,
Narmer Montessori School,41 Glendinning Ave,,Scarborough-Agincourt,Dimiana Wasef,647-618-6977,,,
Native Child & Family Life Centre - 156 Galloway,156 Galloway Rd,Kingston Rd./Lawrence E.,Scarborough-Guildwood,Amanda Persad,437-245-7542,,,
Netivot Hatorah - South Campus,470 Glencairn Ave,Bathurst St/Lawrence Ave W,Eglinton-Lawrence,Joyce Kadoch,416-789-9958,,,netivot.com
Network Bendale Acres Child Care Centre,2920 Lawrence Ave E,Lawrence Ave E/Brimley Rd,Scarborough Centre,Yuk-Ying Chan,416-530-0722,4108,,
Network - Child's Nest Early Years And Child Care Centre - 123 Cosburn,123 Cosburn Ave,Cosburn/Pape,Toronto-Danforth,Leanne Lowes,416-530-0722,4077,,
Network Child Care Services - Child's Nest Early Learning Centre,121 Cosburn Ave,Cosburn/Pape,Toronto-Danforth,Amanda Fulton,416-530-0722,4070,,
Network Child Care Services - Dane Avenue Child Care Centre,120 Via Bagnato,Dufferin/Lawrence,Eglinton-Lawrence,Megan Samanica,416-530-0722,4044,,
Network Childcare Services - Holy Cross,299A Donlands Ave,Donlands Ave/Cosburn Ave,Toronto-Danforth,Danielle Morra,416-885-3768,,,
Network Child Care Services - Just Kids Child Care Centre,1695 Keele St,Keele/Rogers,York South-Weston,Barbara De Cicco,416-530-0722,4037,,
Network Child Care Services - Liberty Village Child Care Centre,21 Western Battery Rd,King St/Strachan Ave,Spadina-Fort York,Sylvia Taylor,416-530-0722,4211,,networkchildcare.com
Network Child Care Services - Metamorphosis Child Care Centre,40 Donlands Ave,Donlands/Danforth,Toronto-Danforth,Sally Pacheco,416-530-0722,4087,,
Network Child Care Services - Ossington Avenue North,756 Ossington Ave,Bloor W./Ossington,Davenport,Marlene Armas,416-530-0722,4028,,
Network Child Care Services - Ossington Avenue South,720 Ossington Ave,Ossington/Bloor W.,Davenport,Jessica Calouro,416-530-0722,4032,,networkchildcare.com
Network Child Care Services - St. Aidan Early Learning Centre,3521 Finch Ave E,Finch E./Warden,Scarborough-Agincourt,Stephanie C. Chung,416-530-0722,4092,,
Network Child Care Services - St. Bartholomew Child Care Centre,51 Heather Rd,Brimley Rd/Sheppard Ave E,Scarborough North,Shuyuan Sharon Sun,416-530-0722,4123,,networkchildcare.com
Network Child Care Services - St. Gabriel Lalemant,160 Crow Trail,Neilson/Finch,Scarborough North,Mariam Baroi,416-530-0722,4056,,
Network Child Care Services - St. Maria Goretti,21 Kenmark Blvd,Eglinton Ave E/Kennedy Rd,Scarborough Southwest,Nahida Akter,416-206-8374,,,
Network Child Care Services - Wade Avenue Centre,544 Lansdowne Ave,Bloor/Lansdowne,Davenport,Diane Palhinha,416-530-0722,4052,,
Network - Lansing Child Care Centre,49 Bogert Ave,Sheppard Ave W/Yonge St,Willowdale,Juvelyn Grospe,416-530-0722,4059,,
New Toronto Nursery Co-Operative Inc,153 Lake Shore Dr,Lake Shore Blvd/Ninth Str,Etobicoke-Lakeshore,Tristan Irish,416-259-8776,,,learningonthelake.org
Norman Ingram School Age YMCA,50 Duncairn Rd,Lawrence/Don Mills,Don Valley East,Nelisha Karmali,416-293-3020,,,
Norseman Jr YMCA,80 Lothian Ave,Islington/Bloor W.,Etobicoke-Lakeshore,Monica Buslon,416-917-8900,,,
Norseman School Age Program (YMCA),105 Norseman St,Bloor/Islington,Etobicoke-Lakeshore,Monica Buslon,416-917-8900,,,
North Etobicoke Jr YMCA,88 Humber College Blvd,Hwy. 27/Humber College,Etobicoke North,Susan Clarke,416-744-4265,,,
Northlea Community Child Care,305 Rumsey Rd,Eglinton/Rumsey Road,Don Valley West,Leslie Schober,416-424-2890,,,
Northview Advent Child Care,541 Finch Ave W,Finch W/Bathurst,York Centre,Alexandra Liavas,647-352-6221,,,
Northview Heights Early Learning Centre - North York,550 Finch Ave W,Bathurst/Finch,York Centre,Georgeena Sarlat,416-739-0987,,,
Northwest Childhood Learning Centre,"2978 Islington Ave, 103",Steeles W./Islington,Humber River-Black Creek,Morena Starcevic,416-740-2888,,,
Northwood Montessori,1080 Finch Ave E,,Don Valley North,Gillian Edith Hagarty,416-492-9495,,,northwoodmontessori.ca
North Yonge Child Care,27 Melrose Ave,Yonge/Wilson,Eglinton-Lawrence,Jessica Jackson,416-481-8900,,,
North Yonge Child Care 2,25 Melrose Ave,Yonge/Wilson,Eglinton-Lawrence,Jessica Jackson,416-481-8900,,,
North York Jr YMCA,567 Sheppard Ave E,Bayview/Sheppard,Don Valley North,Sham Dhanji,416-225-7773,440,,
North York Little Prints Daycare,"20 York Mills Rd, Unit 210",York Mills/Yonge,Don Valley West,Oshida Honarbakhsh,416-229-0572,,,
Norway School Age YMCA,390 Kingston Rd,Woodbine/Kingston Rd.,Beaches-East York,Steffy Lappen,647-439-9905,,,ymcagta.org
Nsheemaehn Child Care Centre,1255 Military Trail,Ellesmere/Military Trail,Scarborough-Rouge Park,Joanne McKay,416-287-7624,,,childcare.utsc.utoronto.ca
O'Connor Early Learning & Child Care Centre,1386 Victoria Park Ave,Victoria Pk./O'Connor,Beaches-East York,Courtney Sarpong,416-392-6545,,,toronto.ca/children/telccs
"O'Connor Public School, Extended Day Program",1665 O Connor Dr,Northline Road/Occonor Drive,Beaches-East York,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/extended-day-program
O'Connor Satellite Early Learning & Child Care Centre,1665 O Connor Dr,Victoria Park/O'Connor,Beaches-East York,Courtney Sarpong,416-392-3980,,,toronto.ca/children/telccs
Oakridge Junior  Playcare,110 Byng Ave,,Scarborough Southwest,Bridgette Rivaldo,416-755-9215,252,,
Oakwood Children's House,115 Winona Dr,Oakwood/St. Clair,Toronto-St. Paul's,Vicenta Tavares,416-656-3831,,,oakwoodchildrenshouse.com
Odyssey Montessori School,256 Christie St,,University-Rosedale,Mary Tomazos,416-533-9402,,,odysseymontessori.com
Odyssey Montessori School Incorporated,136 Sorauren Ave,Roncesvalles/Queen St. W.,Parkdale-High Park,Mary Tomazos,416-533-9402,,,odysseymontessori.com
Ogden Day Care Centre,33 Phoebe St,Queen/Spadina,Spadina-Fort York,Rosemary Sinopoli,416-593-0624,,,
Ola Day Care Inc.,2211 Dundas St W,Dundas St W/Bloor St,Parkdale-High Park,Ane Spiroska,647-351-6521,,oladaycare@gmail.com,
Orchard Grove Nursery Inc,100 Old Orchard Grove,,Eglinton-Lawrence,Rachel Khan,416-728-7224,,,orchardgrovenursery.com
Orde Day Care Centre (Orde Street),18 Orde St,College/University,University-Rosedale,Sandra Hejmo,416-598-3412,,,
Orde Day Care Satellite (St. Patrick Street),132 St Patrick St,Dundas/University,Spadina-Fort York,Indrani Sabessar,416-591-0040,,,
Oriole Nursery School,1570 Yonge St,St. Clair W./Yonge,Toronto-St. Paul's,Heather Brown,416-960-1293,,,oriolenurseryschool.com
Our Lady Of Fatima YMCA,3176 St Clair Ave E,St Clair/Pharmacy,Scarborough Southwest,Jennifer Armstrong,416-288-0997,,,ymcatoronto.org
Our Lady Of Grace YMCA Child Care Centre (YMCA),121 Brimwood Blvd,Finch/McCowan,Scarborough North,Amy Chang,416-293-7326,,,
Our Lady Of Peace School Age Program (YMCA),70 Mattice Ave,Kipling/Burnhamthorpe,Etobicoke Centre,Irene Grobelny,647-281-4410,,,
Our Lady Of Sorrows School Age YMCA,32 Montgomery Rd,Royal York/Bloor,Etobicoke-Lakeshore,Irene Grobelny,647-281-4410,,,
Our Lady Of Victory School Age YMCA,70 Guestville Ave,,York South-Weston,Rockey Persaud,437-225-8035,,,
Our Lady Of Wisdom YMCA,10 Japonica Rd,Ellesmere/Pharmacy,Scarborough Centre,Sol Shenian,416-447-8115,,,ymcatoronto.org
Owen Community Learning Centre,111 Owen Blvd,Bayview/York Mills,Don Valley West,Cheryl Oliver-Linton,416-730-8948,,,
Palisades Centre For Early Learning,15 San Romanoway,Jane/Finch,Humber River-Black Creek,Erin Argal,416-663-4431,221,,
Palmerston Community Daycare,734 Palmerston Ave,Bloor/Bathurst,University-Rosedale,Filomena Melo,416-533-9526,,,palmerstoncommunitydaycare.com
Pape Children's House,540 Jones Ave,Jones/Pape,Toronto-Danforth,Cherie Blades,416-463-2043,,,papechildrenshouse.com
Parkdale Childcare Centre,78 Seaforth Ave,Lansdowne/Queen W,Parkdale-High Park,Anna Ali,416-393-8386,,,
Parkdale Early Learning Centre - CDI - 119 Close Ave.,119 Close Ave,King/Dufferin,Parkdale-High Park,Judith Malcolm Barnes,416-535-6116,,,childdevelop.ca
Park Lawn Preschool,71 Ballacaine Dr,,Etobicoke-Lakeshore,Anna Torunski,416-236-2974,,,plpdaycares.com
"Parkside Elementary School, Extended Day Program",401 Cedarvale Ave,Woodbine/O'Connor,Beaches-East York,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Parkway Forest YMCA,55 Forest Manor Rd,Don Mills/Sheppard,Don Valley North,Christina Hanna,416-773-1958,,,
Pat Schulz Child Care Centre,1 Danforth Ave,Danforth Ave./Broadview,Toronto-Danforth,Kristi Bovaconti,416-393-0939,,,
Pauline Johnson School Age YMCA,35 Dunmurray Blvd,Birchmount/Huntingwood,Scarborough-Agincourt,Ranu Singh,416-913-0958,,,
Percy Williams YMCA,35 White Heather Blvd,,Scarborough North,Rubala Jeganathan,416-298-8911,,,
Perth Avenue Early Learning Centre,14 Ruskin Ave,Symington/Bloor,Davenport,Judeen Longmore,416-533-2575,,,
Petitecare,1419 Gerrard St E,,Toronto-Danforth,Amber Prentice,647-877-2273,,,
Petite Luminaries Childcare,"155 Gordon Baker Rd, 112",Gordon Baker Road/McNicoll Ave,Don Valley North,Rasholeen Nakra,416-756-9797,,,petiteluminaries.com
Petite Maison Montessori,126 O Connor Dr,O'Connor/Broadview,Toronto-Danforth,Navjot Kaur,416-429-0507,,,petitemaison.ca
Petit Pearson Child Care - North York,7 Snowcrest Ave,Bayview/Cummer,Don Valley North,Almani Zakia,416-222-2769,,,
Phoenix Child Centre,625 Seneca Hill Dr,Finch/Don Mills,Don Valley North,Heather Doherty,416-492-8888,,,phoenixchildcentre.com
Phoenix Montessori School Inc.,2 Station Rd,Station Road/Mimico Ave,Etobicoke-Lakeshore,Christina Dinardo,416-695-1212,,,
Pineway Child Care Learning Center,110 Pineway Blvd,Leslie/Cummer,Don Valley North,Jackie Sant,416-225-7156,,,icsg.ca
Pinnacle Jr YMCA,"12 Yonge St, Unit 1",Yonge/Queen's Quay,Spadina-Fort York,Alexandra Holland,416-849-3316,,,
Plains Road Child Care Inc.,520 Plains Rd,Woodbine/O'Connor,Beaches-East York,Karen Arnold,416-421-2273,,,
Plasp All Saints Catholic School,1435 Royal York Rd,Royal York/Eglinton W.,Etobicoke Centre,Support Toronto Parent,1-888-739-4102,,,
Plasp Bennington Heights Ps,76 Bennington Heights Dr,Heath St E/Bayview Ave,Don Valley West,Support Toronto Parent,1-888-739-4102,,,
Plasp Blessed Sacrament C.S.,24 Bedford Park Ave,Yonge St/Bedford Park Ave,Eglinton-Lawrence,Support Toronto Parent,1-888-739-4102,,,
Plasp Blythwood Junior Public School,2 Strathgowan Cres,,Don Valley West,Support Toronto Parent,1-888-739-4102,,,
Plasp - David Hornell Junior School,32 Victoria St,Lake Shore Blvd W/Park Lawn,Etobicoke-Lakeshore,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp Divine Mercy C.S.,101 Van Horne Ave,Don Mills Rd/Finch Ave E,Don Valley North,Support Toronto Parent,1-888-739-4102,,,
Plasp Father Serra Catholic School,111 Sun Row Dr,Islington/The Westway,Etobicoke Centre,Support Toronto Parent,1-888-739-4102,,,
Plasp Holy Angels Catholic School,65 Jutland Rd,Islington/Jutland,Etobicoke-Lakeshore,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp Humber Valley Village Junior Middle School,65 Hartfield Rd,The Kingsway/Islington Ave.,Etobicoke Centre,Support Toronto Parent,1-888-739-4102,,,
Plasp Inglewood Heights Junior Public School,45 Dempster St,,Scarborough-Agincourt,Support Toronto Parent,1-888-739-4102,,,
Plasp Islington Junior Middle School,44 Cordova Ave,Islington/Dundas,Etobicoke-Lakeshore,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp James Culnan Catholic School,605 Willard Ave,Jane/Annette,Parkdale-High Park,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp James S Bell Junior Middle School,90 Thirty First St,Lake Shore/Brown's Line,Etobicoke-Lakeshore,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp Kingsview Village Junior School,1 York Rd,Islington/Dixon,Etobicoke North,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp Lanor Junior Middle School,450 Lanor Ave,,Etobicoke-Lakeshore,Support Toronto Parent,1-888-739-4102,,,
Plasp Mother Cabrini Catholic School,720 Renforth Dr,,Etobicoke Centre,Support Toronto Parent,1-888-739-4102,,,
Plasp Nativity Of Our Lord Catholic School,35 Saffron Cres,Renforth/Rathburn,Etobicoke Centre,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp North Bridlewood Junior Public School,50 Collingsbrook Blvd,,Scarborough-Agincourt,Support Toronto Parent,1-888-739-4102,,,
Plasp Parkfield Junior School,31 Redgrave Dr,Redgrave Dr/Martin Grove Rd,Etobicoke North,Support Toronto Parent,1-888-739-4102,,,
Plasp Pauline Junior Public School,100 Pauline Ave,Dufferin St/Bloor St W,Davenport,Support Toronto Parent,1-888-739-4102,,,
Plasp St. Agnes - Toronto,280 Otonabee Ave,Moxome Ave/Steeles Ave E,Willowdale,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp St. Albert Catholic School,1125 Midland Ave,Midland Ave/Lawrence Ave E,Scarborough Centre,Support Toronto Parent,1-888-739-4102,,,
Plasp St. Cecilia Catholic School,355 Annette St,Runnymede/Annette,Parkdale-High Park,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp St. Clement Catholic School,4319 Bloor St W,Bloor St W/Mill Rd,Etobicoke Centre,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp St. Conrad Catholic School,5 Exbury Rd,Roding St/Calvington Dr,York Centre,Support Toronto Parent,1-888-739-4102,,,
Plasp St. Elizabeth Catholic School,5 Redcar Ave,Bloor/East Mall,Etobicoke-Lakeshore,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp St. Isaac Jogues Catholic School - Tor,1330 York Mills Rd,,Don Valley East,Support Toronto Parent,1-888-739-4102,,,
Plasp St. Louis C.S.,11 Morgan Ave,The Queensway/Royal York Rd,Etobicoke-Lakeshore,Support Toronto Parent,1-888-739-4102,,,
Plasp St. Margaret C.S.,85 Carmichael Ave,,Eglinton-Lawrence,Support Toronto Parent,1-888-739-4102,,,
Plasp St. Norbert Catholic School,60 Maniza Rd,Maniza Rd/Wilson Ave,York Centre,Support Toronto Parent,1-888-739-4102,,,
Plasp St. Pius X Catholic School,71 Jane St,Jane St./Bloor St. W.,Parkdale-High Park,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp St. Simon C.S.,24 Strathburn Blvd,Albion Rd/Weston Rd,Humber River-Black Creek,Support Toronto Parent,1-888-739-4102,,,
Plasp Steelesview Public School,105 Bestview Dr,Steeles Ave E/Laureleaf Rd S,Don Valley North,Support Toronto Parent,1-888-739-4102,,,
Plasp St Eugene Catholic School,30 Westroyal Rd,The Westway/Royal York Road,Etobicoke Centre,Support Toronto Parent,1-888-739-4102,,,
